PLAZA ID,PLAZA NAME,PLAZA TYPE,PLAZA CITY,PLAZA STATE,CONCESSIONAIRE
540040,Shelu Bazar/Wanoza Toll Plaza,State,Washim,Maharashtra,NMSCEL
540041,Malegaon Toll Plaza,State,Washim,Maharashtra,NMSCEL
540042,Mehkar Toll Plaza,State,Buldhana,Maharashtra,NMSCEL
540043,Dusarbid Toll Plaza,State,Buldhana,Maharashtra,NMSCEL
540044,Sidkhedraja Toll Plaza,State,Buldhana,Maharashtra,NMSCEL
540045,Nidhhona Toll Plaza,State,Jalna,Maharashtra,NMSCEL
540046,Shendra MIDC Toll Plaza,State,Aurangabad,Maharashtra,NMSCEL
540047,Sawangi Toll Plaza,State,Aurangabad,Maharashtra,NMSCEL
540048,Maliwada Toll Plaza,State,Aurangabad,Maharashtra,NMSCEL
540049,Hadas Pimpalgaon Toll Plaza,State,Aurangabad,Maharashtra,NMSCEL
540050,Ghaigaon Jambargaon Toll Plaza,State,Aurangabad,Maharashtra,NMSCEL
540051,Kokmathan Toll Plaza,State,Aurangabad,Maharashtra,NMSCEL
540052,Gonde Toll Plaza,State,Ahmednagar,Maharashtra,NMSCEL
540053,Bharvir Toll Plaza,State,Nashik,Maharashtra,NMSCEL
540054,Pimpri Sadruddin Toll Plaza,State,Nashik,Maharashtra,NMSCEL
540055,Khutgar Sapgaon Toll Plaza,State,Nashik,Maharashtra,NMSCEL
540056,Nimbvali Toll Plaza,State,Thane,Maharashtra,NMSCEL
540057,Bhiwandi Toll Plaza,State,Thane,Maharashtra,NMSCEL
